gene	n_accessions
AFF1	2
AGO1	2
ARHGAP35	1
ARID1B	1
ARID2	1
ARID3A	1
ARID3B	1
ARNT	3
ASH1L	1
ATF1	3
ATF2	1
ATF3	4
ATF4	1
ATF7	1
ATRX	1
BACH1	1
BCL6	1
BCLAF1	2
BCOR	1
BDP1	1
BHLHE40	1
BMI1	1
BRCA1	1
BRD2	3
BRD3	2
BRD4	4
BRD9	1
CBFA2T2	1
CBFA2T3	2
CBX1	1
CBX2	2
CBX3	1
CBX5	1
CBX8	2
CC2D1A	1
CCAR2	2
CCNT2	1
CDC5L	1
CDK8	1
CEBPB	2
CEBPD	1
CEBPG	2
CHD1	1
CHD2	1
CHD4	1
CHD7	1
CLOCK	1
CREB1	1
CREB3	1
CREB3L1	1
CREBBP	1
CREM	1
CTBP1	1
CTCF	13
CTCFL	2
CUX1	1
DACH1	1
DDX20	2
DEAF1	1
DIDO1	1
DLX4	1
DPF1	1
DPF2	1
E2F1	2
E2F3	1
E2F4	1
E2F5	1
E2F6	2
E2F7	1
E2F8	1
E4F1	1
EGR1	3
EHMT2	1
ELF1	2
ELF4	1
ELK1	2
EP300	2
EP400	1
EPAS1	1
ERG	1
ESRRA	1
ESRRB	1
ETS1	1
ETV1	1
ETV6	1
EZH2	1
FIP1L1	2
FOS	2
FOSL1	1
FOXA1	1
FOXJ2	1
FOXK2	2
FOXM1	1
FOXO3	1
FUS	2
GABPA	2
GABPB1	1
GATA1	4
GATA2	4
GATAD2A	1
GFI1B	2
GMEB1	2
GTF2A2	1
GTF2F1	4
GTF3C2	1
HCFC1	1
HDAC1	5
HDAC2	5
HDAC3	1
HDAC6	1
HDAC8	2
HDGF	2
HES1	1
HIF1A	2
HINFP	1
HIVEP1	1
HMGN3	1
HNRNPC	1
HNRNPK	2
HNRNPL	2
HNRNPLL	2
HNRNPUL1	2
HOMEZ	1
HOXB8	1
ID3	1
IKZF1	1
ILF3	1
ILK	1
IRF1	6
IRF2	1
IRF9	1
JUN	5
JUNB	3
JUND	1
KAT2B	1
KAT8	1
KDM1A	4
KDM4B	1
KDM5B	1
KLF1	1
KLF10	1
KLF13	1
KLF16	1
KLF6	1
L3MBTL2	2
LDB1	1
LEF1	2
MAFF	1
MAFG	1
MAFK	1
MAX	2
MAZ	2
MBD2	1
MCM2	1
MCM3	1
MCM5	1
MCM7	2
MED1	1
MEF2A	1
MEF2D	1
MEIS2	1
MGA	1
MIER1	1
MITF	2
MLLT1	2
MNT	3
MORC2	1
MTA1	1
MTA2	2
MTA3	2
MXI1	1
MYB	1
MYC	7
MYNN	1
NBN	1
NCOA1	2
NCOA4	1
NCOR1	3
NELFA	1
NELFE	1
NEUROD1	1
NFATC3	1
NFE2	3
NFE2L2	1
NFIA	1
NFIC	1
NFIX	1
NFRKB	2
NFXL1	1
NFYA	2
NFYB	2
NONO	4
NR2C1	2
NR2C2	1
NR2F1	1
NR2F2	1
NR2F6	1
NR3C1	2
NR4A1	2
NRF1	4
NSD2	1
NUFIP1	1
PATZ1	1
PAX8	1
PBX2	2
PCBP1	2
PCBP2	2
PHB2	1
PHF20	1
PHF21A	1
PHF8	1
PKNOX1	1
PLAG1	1
PML	1
PRDM10	1
PRMT5	1
PRPF4	2
PTBP1	2
PTRF	1
PTTG1	1
RAD21	3
RAD51	1
RB1	2
RBBP5	1
RBFOX2	2
RBM14	1
RBM15	1
RBM22	2
RBM25	1
RBM39	2
RCOR1	1
RELA	1
REST	4
RFX1	2
RFX5	1
RLF	1
RNF2	3
RREB1	1
RUNX1	2
SAFB	2
SAFB2	1
SAP30	1
SETDB1	3
SHOX2	1
SIN3A	2
SIN3B	1
SIRT6	2
SIX5	1
SKIL	1
SMAD1	1
SMAD2	1
SMAD5	1
SMARCA4	2
SMARCA5	1
SMARCB1	1
SMARCC2	1
SMARCE1	1
SMC3	1
SNIP1	1
SNRNP70	2
SOX6	1
SP1	2
SP2	1
SPI1	3
SREBF1	1
SRF	2
SRSF1	1
SRSF3	2
SRSF4	1
SRSF7	2
SRSF9	1
STAG1	1
STAT1	3
STAT2	2
STAT5A	1
SUZ12	1
TAF1	1
TAF15	2
TAF7	2
TAF9B	1
TAL1	1
TARDBP	3
TBL1XR1	2
TBP	2
TBX18	1
TCF12	2
TCF3	1
TCF7	1
TCFL5	1
TEAD1	1
TEAD2	1
TFDP1	2
THAP1	1
THRA	1
THRAP3	1
TOP2A	1
TP53	1
TRIM24	2
TRIM28	2
TRIP13	1
TSC22D4	1
TSHZ1	1
U2AF1	2
UBTF	2
USF1	1
USF2	4
VEZF1	1
WDR5	1
XRCC5	2
YBX1	1
YBX3	1
YY1	3
ZBED1	1
ZBTB11	3
ZBTB12	1
ZBTB2	1
ZBTB33	2
ZBTB40	1
ZBTB5	2
ZBTB7A	2
ZC3H11A	1
ZEB2	1
ZFP36	1
ZFX	1
ZHX1	1
ZKSCAN1	1
ZMIZ1	2
ZMYM3	2
ZNF12	1
ZNF133	1
ZNF134	1
ZNF143	2
ZNF148	2
ZNF165	1
ZNF174	1
ZNF175	1
ZNF18	1
ZNF184	2
ZNF215	1
ZNF23	1
ZNF239	1
ZNF24	4
ZNF257	1
ZNF263	1
ZNF274	1
ZNF281	1
ZNF282	1
ZNF3	1
ZNF311	1
ZNF316	1
ZNF318	2
ZNF324	1
ZNF354B	2
ZNF384	1
ZNF395	1
ZNF397	1
ZNF407	1
ZNF408	1
ZNF41	1
ZNF410	1
ZNF436	1
ZNF444	1
ZNF507	2
ZNF512	1
ZNF589	1
ZNF592	1
ZNF639	4
ZNF644	1
ZNF696	1
ZNF740	2
ZNF75A	1
ZNF76	1
ZNF764	1
ZNF77	1
ZNF79	1
ZNF83	1
ZNF830	2
ZSCAN29	1
ZZZ3	1
