cent_met	metric	pval	r	padj	log10_padj
hub_score	n_ppis	2.38858207197733e-23	0.102768836935248	4.18001862596033e-23	22.3788217830255
hub_score	pHaplo	3.83996312789839e-26	0.111941268836133	7.3308386987151e-26	25.1348463362201
hub_score	pTriplo	4.79180565242537e-29	0.11834746169042	1.25784898376166e-28	27.900371496773
hub_score	gnomAD pLI	1.36111782969154e-44	0.147962471861119	9.5278248078408e-44	43.0210062370089
hub_score	gnomAD LOEUF	1.43689546141021e-36	0.133704715530076	6.03496093792287e-36	35.2193255365856
hub_score	gnomAD MisOEUF	9.16158104767272e-27	0.113357759243397	1.92393202001127e-26	25.7158102773375
hub_score	EDS	9.41454176499745e-08	0.0566564831481785	1.0405546161313e-07	6.98273511981377
eigenvector_centrality	n_ppis	1.40354711280845e-40	0.137391015884643	7.36862234224436e-40	39.1326137014338
eigenvector_centrality	pHaplo	4.7072923337296e-28	0.116198547118379	1.09836821120357e-27	26.9592520448706
eigenvector_centrality	pTriplo	5.46763391047251e-48	0.153615789980582	1.14820312119923e-46	45.9399812769095
eigenvector_centrality	gnomAD pLI	1.15406763609392e-30	0.121796947652331	3.46220290828177e-30	29.460647483149
eigenvector_centrality	gnomAD LOEUF	4.13866761273072e-47	0.152394451185295	4.34560099336726e-46	45.3619501524596
eigenvector_centrality	gnomAD MisOEUF	3.36918272761335e-32	0.124941303160413	1.17921395466467e-31	30.9284073900702
eigenvector_centrality	EDS	0.794385619772662	-0.0027685550801868	0.794385619772662	0.0999686261817436
vertex_betweenness	n_ppis	3.94737394169818e-21	0.0974127946621392	5.92106091254726e-21	20.2276004711174
vertex_betweenness	pHaplo	6.75468552412315e-12	0.0727692641535922	7.88046644481034e-12	11.1034480758592
vertex_betweenness	pTriplo	1.2940412697073e-15	0.0847366420402837	1.69842916649083e-15	14.7699525608008
vertex_betweenness	gnomAD pLI	4.34951421001496e-23	0.104801727253495	7.02613833925493e-23	22.1532833035358
vertex_betweenness	gnomAD LOEUF	7.61896001976751e-20	0.0967364286230065	1.06665440276745e-19	18.9719762696882
vertex_betweenness	gnomAD MisOEUF	2.73217466795136e-15	0.0837681612244174	3.37503929570462e-15	14.4717211662972
vertex_betweenness	EDS	0.00101232432741944	0.0349079340891006	0.00106294054379041	2.97349102731668
